Drug A,Drug B,Cell Line,Amount of Literatures,Predicted Synergy Score
5-FU,CYCLOPHOSPHAMIDE,NCIH520,0,3.349723
5-FU,CYCLOPHOSPHAMIDE,OCUBM,0,6.61481
5-FU,CYCLOPHOSPHAMIDE,OV90,0,-1.36697
5-FU,CYCLOPHOSPHAMIDE,OVCAR3,1,-0.79717
5-FU,CYCLOPHOSPHAMIDE,PA1,0,3.039224
5-FU,CYCLOPHOSPHAMIDE,RKO,0,5.002671
5-FU,CYCLOPHOSPHAMIDE,RPMI7951,0,-0.46996
5-FU,CYCLOPHOSPHAMIDE,SKMEL30,0,-8.688
5-FU,CYCLOPHOSPHAMIDE,SKMES1,0,2.553945
5-FU,CYCLOPHOSPHAMIDE,SKOV3,2,1.725097
5-FU,CYCLOPHOSPHAMIDE,SW620,0,1.872367
5-FU,CYCLOPHOSPHAMIDE,SW837,0,-2.82443
5-FU,CYCLOPHOSPHAMIDE,T47D,2,-4.60382
5-FU,CYCLOPHOSPHAMIDE,UACC62,0,1.070467
5-FU,CYCLOPHOSPHAMIDE,UWB1289,0,-0.40394
5-FU,CYCLOPHOSPHAMIDE,UWB1289BRCA1,0,2.517958
5-FU,CYCLOPHOSPHAMIDE,VCAP,0,6.381327
5-FU,CYCLOPHOSPHAMIDE,ZR751,0,2.645651
5-FU,DEXAMETHASONE,A2058,0,2.520668
5-FU,DEXAMETHASONE,A2780,0,-0.35969
5-FU,DEXAMETHASONE,A375,1,6.430167
5-FU,DEXAMETHASONE,A427,0,3.796239
5-FU,DEXAMETHASONE,CAOV3,0,19.9047
5-FU,DEXAMETHASONE,COLO320DM,0,8.270656
5-FU,DEXAMETHASONE,DLD1,0,5.022839
5-FU,DEXAMETHASONE,EFM192B,0,-12.9305
5-FU,DEXAMETHASONE,ES2,0,-3.54059
5-FU,DEXAMETHASONE,HCT116,0,0.99527
5-FU,DEXAMETHASONE,HT144,0,-2.88372
5-FU,DEXAMETHASONE,HT29,0,2.662996
5-FU,DEXAMETHASONE,KPL1,0,10.48814
5-FU,DEXAMETHASONE,LNCAP,0,-1.26477
5-FU,DEXAMETHASONE,LOVO,0,-0.12174
5-FU,DEXAMETHASONE,MDAMB436,0,4.15864
5-FU,DEXAMETHASONE,MSTO,0,-32.0374
5-FU,DEXAMETHASONE,NCIH1650,0,5.741248
5-FU,DEXAMETHASONE,NCIH2122,0,7.124353
5-FU,DEXAMETHASONE,NCIH23,0,-2.44782
5-FU,DEXAMETHASONE,NCIH460,0,4.087762
5-FU,DEXAMETHASONE,NCIH520,0,3.803027
5-FU,DEXAMETHASONE,OCUBM,0,11.76334
5-FU,DEXAMETHASONE,OV90,0,-7.09303
5-FU,DEXAMETHASONE,OVCAR3,0,5.844965
5-FU,DEXAMETHASONE,PA1,0,12.23775
5-FU,DEXAMETHASONE,RKO,0,3.819164
5-FU,DEXAMETHASONE,RPMI7951,0,-12.008
5-FU,DEXAMETHASONE,SKMEL30,0,11.72034
5-FU,DEXAMETHASONE,SKMES1,0,4.48281
5-FU,DEXAMETHASONE,SKOV3,0,9.981518
5-FU,DEXAMETHASONE,SW620,0,4.174192
5-FU,DEXAMETHASONE,SW837,0,0.666871
5-FU,DEXAMETHASONE,T47D,0,-12.0213
5-FU,DEXAMETHASONE,UACC62,0,3.400912
5-FU,DEXAMETHASONE,UWB1289,0,0.222118
5-FU,DEXAMETHASONE,UWB1289BRCA1,0,4.061115
5-FU,DEXAMETHASONE,VCAP,0,-0.08075
5-FU,DEXAMETHASONE,ZR751,0,10.60552
5-FU,DOXORUBICIN,A2058,1,2.393633
5-FU,DOXORUBICIN,A2780,13,2.434481
5-FU,DOXORUBICIN,A375,3,-3.90143
5-FU,DOXORUBICIN,A427,0,-2.51494
5-FU,DOXORUBICIN,CAOV3,0,-2.1522
5-FU,DOXORUBICIN,COLO320DM,0,2.216958
5-FU,DOXORUBICIN,DLD1,0,-1.74575
5-FU,DOXORUBICIN,EFM192B,0,-6.4743
5-FU,DOXORUBICIN,ES2,0,-1.31263
5-FU,DOXORUBICIN,HCT116,31,0.781937
5-FU,DOXORUBICIN,HT144,0,1.725811
5-FU,DOXORUBICIN,HT29,18,-0.00539
5-FU,DOXORUBICIN,KPL1,0,-3.92627
5-FU,DOXORUBICIN,LNCAP,8,-2.15956
5-FU,DOXORUBICIN,LOVO,7,-3.72244
5-FU,DOXORUBICIN,MDAMB436,0,2.934029
5-FU,DOXORUBICIN,MSTO,0,-21.6794
5-FU,DOXORUBICIN,NCIH1650,0,-2.43617
5-FU,DOXORUBICIN,NCIH2122,0,-1.19631
5-FU,DOXORUBICIN,NCIH23,0,-4.44309
5-FU,DOXORUBICIN,NCIH460,0,2.709317
5-FU,DOXORUBICIN,NCIH520,0,-6.11967
5-FU,DOXORUBICIN,OCUBM,0,4.826738
5-FU,DOXORUBICIN,OV90,0,-8.85236
5-FU,DOXORUBICIN,OVCAR3,0,-11.5571
5-FU,DOXORUBICIN,PA1,0,-10.7695
5-FU,DOXORUBICIN,RKO,2,4.901107
5-FU,DOXORUBICIN,RPMI7951,0,-4.03905
5-FU,DOXORUBICIN,SKMEL30,0,-23.6722
5-FU,DOXORUBICIN,SKMES1,1,2.345303
5-FU,DOXORUBICIN,SKOV3,1,-6.8222
5-FU,DOXORUBICIN,SW620,9,1.934874
5-FU,DOXORUBICIN,SW837,0,-3.99905
5-FU,DOXORUBICIN,T47D,7,10.9757
5-FU,DOXORUBICIN,UACC62,0,-4.26404
5-FU,DOXORUBICIN,UWB1289,0,0.304853
5-FU,DOXORUBICIN,UWB1289BRCA1,0,5.514496
5-FU,DOXORUBICIN,VCAP,0,6.225158
5-FU,DOXORUBICIN,ZR751,0,-2.29276
5-FU,ETOPOSIDE,A2058,0,0.97795
5-FU,ETOPOSIDE,A2780,4,10.91606
5-FU,ETOPOSIDE,A375,2,-18.2144
5-FU,ETOPOSIDE,A427,0,0.394981
5-FU,ETOPOSIDE,CAOV3,0,70.51404
5-FU,ETOPOSIDE,COLO320DM,0,9.888703
5-FU,ETOPOSIDE,DLD1,0,3.800556
5-FU,ETOPOSIDE,EFM192B,0,-2.67562
5-FU,ETOPOSIDE,ES2,0,-0.79391
5-FU,ETOPOSIDE,HCT116,9,3.663312
5-FU,ETOPOSIDE,HT144,0,8.169008
5-FU,ETOPOSIDE,HT29,8,5.120338
5-FU,ETOPOSIDE,KPL1,0,2.447031
5-FU,ETOPOSIDE,LNCAP,4,10.52487
5-FU,ETOPOSIDE,LOVO,1,-1.66434
5-FU,ETOPOSIDE,MDAMB436,0,16.42101
5-FU,ETOPOSIDE,MSTO,0,-27.3454
5-FU,ETOPOSIDE,NCIH1650,0,5.560192
5-FU,ETOPOSIDE,NCIH2122,0,5.24236
5-FU,ETOPOSIDE,NCIH23,0,-39.7463
5-FU,ETOPOSIDE,NCIH460,0,8.329134
5-FU,ETOPOSIDE,NCIH520,0,3.342071
5-FU,ETOPOSIDE,OCUBM,0,6.89811
5-FU,ETOPOSIDE,OV90,0,-1.87677
5-FU,ETOPOSIDE,OVCAR3,1,-3.628
5-FU,ETOPOSIDE,PA1,0,-13.9733
5-FU,ETOPOSIDE,RKO,1,8.391063
5-FU,ETOPOSIDE,RPMI7951,0,0.168042
5-FU,ETOPOSIDE,SKMEL30,0,-49.2048
5-FU,ETOPOSIDE,SKMES1,0,6.374489
5-FU,ETOPOSIDE,SKOV3,2,-2.27882
5-FU,ETOPOSIDE,SW620,4,3.243474
5-FU,ETOPOSIDE,SW837,0,4.486057
5-FU,ETOPOSIDE,T47D,1,4.512897
5-FU,ETOPOSIDE,UACC62,0,5.482438
5-FU,ETOPOSIDE,UWB1289,0,4.029312
5-FU,ETOPOSIDE,UWB1289BRCA1,0,17.77377
5-FU,ETOPOSIDE,VCAP,0,11.48447
5-FU,ETOPOSIDE,ZR751,0,4.829231
5-FU,GEMCITABINE,A2058,1,8.9214
5-FU,GEMCITABINE,A2780,6,1.929016
5-FU,GEMCITABINE,A375,1,2.214987
5-FU,GEMCITABINE,A427,0,12.18427
5-FU,GEMCITABINE,CAOV3,0,3.850858
5-FU,GEMCITABINE,COLO320DM,0,7.834419
5-FU,GEMCITABINE,DLD1,0,6.481363
5-FU,GEMCITABINE,EFM192B,0,3.838561
5-FU,GEMCITABINE,ES2,0,4.215553
5-FU,GEMCITABINE,HCT116,11,0.691902
5-FU,GEMCITABINE,HT144,0,5.608345
5-FU,GEMCITABINE,HT29,7,5.048655
5-FU,GEMCITABINE,KPL1,0,1.93777
5-FU,GEMCITABINE,LNCAP,0,-9.66626
5-FU,GEMCITABINE,LOVO,2,-0.50145
5-FU,GEMCITABINE,MDAMB436,0,17.53349
5-FU,GEMCITABINE,MSTO,1,-7.90229
5-FU,GEMCITABINE,NCIH1650,0,2.830354
5-FU,GEMCITABINE,NCIH2122,0,9.89221
5-FU,GEMCITABINE,NCIH23,0,-4.23965
5-FU,GEMCITABINE,NCIH460,0,9.743856
5-FU,GEMCITABINE,NCIH520,0,5.369882
5-FU,GEMCITABINE,OCUBM,0,12.06538
5-FU,GEMCITABINE,OV90,0,1.989923
5-FU,GEMCITABINE,OVCAR3,0,-7.06419
5-FU,GEMCITABINE,PA1,0,3.876341
5-FU,GEMCITABINE,RKO,0,2.571917
5-FU,GEMCITABINE,RPMI7951,0,-2.04245
5-FU,GEMCITABINE,SKMEL30,0,-20.8026
5-FU,GEMCITABINE,SKMES1,0,-6.14544
5-FU,GEMCITABINE,SKOV3,0,0.882004
5-FU,GEMCITABINE,SW620,2,9.584278
5-FU,GEMCITABINE,SW837,0,5.420718
5-FU,GEMCITABINE,T47D,2,2.492685
5-FU,GEMCITABINE,UACC62,0,6.562474
5-FU,GEMCITABINE,UWB1289,0,-0.68822
5-FU,GEMCITABINE,UWB1289BRCA1,0,9.927565
5-FU,GEMCITABINE,VCAP,0,7.554115
5-FU,GEMCITABINE,ZR751,0,5.330681
5-FU,METFORMIN,A2058,0,4.546574
5-FU,METFORMIN,A2780,0,-1.05432
5-FU,METFORMIN,A375,0,3.35191
5-FU,METFORMIN,A427,0,2.661826
5-FU,METFORMIN,CAOV3,0,-13.2937
5-FU,METFORMIN,COLO320DM,0,3.610548
5-FU,METFORMIN,DLD1,0,3.873657
5-FU,METFORMIN,EFM192B,0,-6.2765
5-FU,METFORMIN,ES2,0,-2.36106
5-FU,METFORMIN,HCT116,5,0.722816
5-FU,METFORMIN,HT144,0,-1.46779
5-FU,METFORMIN,HT29,3,0.882429
5-FU,METFORMIN,KPL1,0,-8.50554
5-FU,METFORMIN,LNCAP,0,9.037343
5-FU,METFORMIN,LOVO,0,-10.6623
5-FU,METFORMIN,MDAMB436,0,3.446802
5-FU,METFORMIN,MSTO,0,-21.4345
5-FU,METFORMIN,NCIH1650,0,-2.37475
5-FU,METFORMIN,NCIH2122,0,1.626242
5-FU,METFORMIN,NCIH23,0,-2.52132
5-FU,METFORMIN,NCIH460,0,-4.61257
5-FU,METFORMIN,NCIH520,0,-1.12062
5-FU,METFORMIN,OCUBM,0,1.191938
5-FU,METFORMIN,OV90,0,-3.65218
5-FU,METFORMIN,OVCAR3,0,2.735511
5-FU,METFORMIN,PA1,0,5.364221
5-FU,METFORMIN,RKO,0,2.228857
5-FU,METFORMIN,RPMI7951,0,-1.75075
5-FU,METFORMIN,SKMEL30,0,-14.1809
5-FU,METFORMIN,SKMES1,0,1.743966
5-FU,METFORMIN,SKOV3,0,-1.85947
5-FU,METFORMIN,SW620,1,0.28069
5-FU,METFORMIN,SW837,1,-5.50675
5-FU,METFORMIN,T47D,0,13.21827
5-FU,METFORMIN,UACC62,0,-2.72035
5-FU,METFORMIN,UWB1289,0,6.097193
5-FU,METFORMIN,UWB1289BRCA1,0,3.078448
5-FU,METFORMIN,VCAP,0,3.080982
5-FU,METFORMIN,ZR751,0,-11.9428
5-FU,METHOTREXATE,A2058,0,-11.1695
5-FU,METHOTREXATE,A2780,6,-5.36578
5-FU,METHOTREXATE,A375,2,1.154467
5-FU,METHOTREXATE,A427,0,-3.3513
5-FU,METHOTREXATE,CAOV3,0,-12.9066
5-FU,METHOTREXATE,COLO320DM,0,0.789087
5-FU,METHOTREXATE,DLD1,0,-1.79853
5-FU,METHOTREXATE,EFM192B,0,-0.72561
5-FU,METHOTREXATE,ES2,0,-0.07043
5-FU,METHOTREXATE,HCT116,9,-18.0414
5-FU,METHOTREXATE,HT144,0,-0.70199
5-FU,METHOTREXATE,HT29,11,-6.48423
5-FU,METHOTREXATE,KPL1,0,-10.3268
5-FU,METHOTREXATE,LNCAP,1,-7.13426
5-FU,METHOTREXATE,LOVO,2,-6.40376
5-FU,METHOTREXATE,MDAMB436,0,-1.38996
5-FU,METHOTREXATE,MSTO,0,-7.68953
5-FU,METHOTREXATE,NCIH1650,0,-6.57337
5-FU,METHOTREXATE,NCIH2122,0,-3.5885
5-FU,METHOTREXATE,NCIH23,0,-10.6113
5-FU,METHOTREXATE,NCIH460,0,-14.9312
5-FU,METHOTREXATE,NCIH520,0,-9.99735
5-FU,METHOTREXATE,OCUBM,0,0.247591
5-FU,METHOTREXATE,OV90,0,3.221643
5-FU,METHOTREXATE,OVCAR3,0,-18.1164
5-FU,METHOTREXATE,PA1,0,-21.0103
5-FU,METHOTREXATE,RKO,1,-5.41308
5-FU,METHOTREXATE,RPMI7951,0,-5.88852
5-FU,METHOTREXATE,SKMEL30,0,-45.8779
5-FU,METHOTREXATE,SKMES1,0,-3.39484
5-FU,METHOTREXATE,SKOV3,0,1.571391
5-FU,METHOTREXATE,SW620,4,-7.58121
5-FU,METHOTREXATE,SW837,0,-5.68152
5-FU,METHOTREXATE,T47D,3,-2.35525
5-FU,METHOTREXATE,UACC62,0,-4.55829
5-FU,METHOTREXATE,UWB1289,0,-6.26784
5-FU,METHOTREXATE,UWB1289BRCA1,0,-5.67146
5-FU,METHOTREXATE,VCAP,0,-3.55187
5-FU,METHOTREXATE,ZR751,0,-12.9314
5-FU,MITOMYCIN,A2058,0,-5.25682
5-FU,MITOMYCIN,A2780,0,-2.0637
5-FU,MITOMYCIN,A375,0,-3.24088
5-FU,MITOMYCIN,A427,0,5.719899
5-FU,MITOMYCIN,CAOV3,0,-8.90139
5-FU,MITOMYCIN,COLO320DM,0,3.992757
5-FU,MITOMYCIN,DLD1,0,-4.14945
5-FU,MITOMYCIN,EFM192B,0,-15.1815
5-FU,MITOMYCIN,ES2,0,-4.50804
5-FU,MITOMYCIN,HCT116,0,-4.44726
5-FU,MITOMYCIN,HT144,0,-1.86221
5-FU,MITOMYCIN,HT29,0,-1.05117
5-FU,MITOMYCIN,KPL1,0,-7.27774
5-FU,MITOMYCIN,LNCAP,0,-4.59824
5-FU,MITOMYCIN,LOVO,0,-6.70571
5-FU,MITOMYCIN,MDAMB436,0,10.67949
5-FU,MITOMYCIN,MSTO,0,-24.9857
5-FU,MITOMYCIN,NCIH1650,0,-6.64001
5-FU,MITOMYCIN,NCIH2122,0,-7.56982
5-FU,MITOMYCIN,NCIH23,0,-7.51661
5-FU,MITOMYCIN,NCIH460,0,-13.7532
5-FU,MITOMYCIN,NCIH520,0,-3.54782
5-FU,MITOMYCIN,OCUBM,0,2.541559
5-FU,MITOMYCIN,OV90,0,-14.6923
5-FU,MITOMYCIN,OVCAR3,0,-8.33398
5-FU,MITOMYCIN,PA1,0,-10.4142
5-FU,MITOMYCIN,RKO,0,-2.36289
5-FU,MITOMYCIN,RPMI7951,0,-11.2555
5-FU,MITOMYCIN,SKMEL30,0,-63.7913
5-FU,MITOMYCIN,SKMES1,0,1.488079
5-FU,MITOMYCIN,SKOV3,0,-11.0301
5-FU,MITOMYCIN,SW620,0,-2.79685
5-FU,MITOMYCIN,SW837,0,-2.7786
5-FU,MITOMYCIN,T47D,0,-3.18401
5-FU,MITOMYCIN,UACC62,0,-0.93152
5-FU,MITOMYCIN,UWB1289,0,-1.80323
5-FU,MITOMYCIN,UWB1289BRCA1,0,14.03948
5-FU,MITOMYCIN,VCAP,0,4.684836
5-FU,MITOMYCIN,ZR751,0,-7.81406
5-FU,OXALIPLATIN,A2058,0,3.037833
5-FU,OXALIPLATIN,A2780,2,-8.77761
5-FU,OXALIPLATIN,A375,0,-1.7869
5-FU,OXALIPLATIN,A427,0,-1.68612
5-FU,OXALIPLATIN,CAOV3,0,-23.5857
5-FU,OXALIPLATIN,COLO320DM,1,5.107986
5-FU,OXALIPLATIN,DLD1,6,-3.82335
5-FU,OXALIPLATIN,EFM192B,0,-10.1286
5-FU,OXALIPLATIN,ES2,0,-7.17651
5-FU,OXALIPLATIN,HCT116,97,2.759647
5-FU,OXALIPLATIN,HT144,0,-5.1889
5-FU,OXALIPLATIN,HT29,85,-0.54069
5-FU,OXALIPLATIN,KPL1,0,-4.70965
5-FU,OXALIPLATIN,LNCAP,0,-5.16168
5-FU,OXALIPLATIN,LOVO,18,-17.5173
5-FU,OXALIPLATIN,MDAMB436,0,2.016365
5-FU,OXALIPLATIN,MSTO,0,-8.55987
5-FU,OXALIPLATIN,NCIH1650,0,-4.70235
5-FU,OXALIPLATIN,NCIH2122,0,-0.00333
5-FU,OXALIPLATIN,NCIH23,0,-9.841
5-FU,OXALIPLATIN,NCIH460,0,-16.4396
5-FU,OXALIPLATIN,NCIH520,0,-5.33241
5-FU,OXALIPLATIN,OCUBM,0,12.26749
5-FU,OXALIPLATIN,OV90,0,-13.1303
5-FU,OXALIPLATIN,OVCAR3,1,-2.21987
5-FU,OXALIPLATIN,PA1,0,-15.8925
5-FU,OXALIPLATIN,RKO,7,1.384179
5-FU,OXALIPLATIN,RPMI7951,0,-10.2947
5-FU,OXALIPLATIN,SKMEL30,0,-44.4567
5-FU,OXALIPLATIN,SKMES1,0,1.731096
5-FU,OXALIPLATIN,SKOV3,1,-3.3047
5-FU,OXALIPLATIN,SW620,20,-2.62303
5-FU,OXALIPLATIN,SW837,1,-6.88648
5-FU,OXALIPLATIN,T47D,0,5.021202
5-FU,OXALIPLATIN,UACC62,0,-11.1937
5-FU,OXALIPLATIN,UWB1289,0,0.464699
5-FU,OXALIPLATIN,UWB1289BRCA1,0,1.239217
5-FU,OXALIPLATIN,VCAP,0,5.637778
5-FU,OXALIPLATIN,ZR751,0,-10.6236
5-FU,PACLITAXEL,A2058,0,-2.47519
5-FU,PACLITAXEL,A2780,9,-2.67574
5-FU,PACLITAXEL,A375,2,15.04638
5-FU,PACLITAXEL,A427,0,3.070897
5-FU,PACLITAXEL,CAOV3,0,-12.5153
5-FU,PACLITAXEL,COLO320DM,0,21.10481
5-FU,PACLITAXEL,DLD1,0,12.41731
5-FU,PACLITAXEL,EFM192B,0,-7.81731
5-FU,PACLITAXEL,ES2,0,19.5799
5-FU,PACLITAXEL,HCT116,16,-3.76922
5-FU,PACLITAXEL,HT144,0,15.21614
5-FU,PACLITAXEL,HT29,9,2.882338
5-FU,PACLITAXEL,KPL1,0,-0.42634
5-FU,PACLITAXEL,LNCAP,6,-15.0599
5-FU,PACLITAXEL,LOVO,4,-2.36283
5-FU,PACLITAXEL,MDAMB436,0,6.707242
5-FU,PACLITAXEL,MSTO,0,-8.17814
5-FU,PACLITAXEL,NCIH1650,0,1.889597
5-FU,PACLITAXEL,NCIH2122,0,-48.7885
5-FU,PACLITAXEL,NCIH23,0,-2.02142
5-FU,PACLITAXEL,NCIH460,0,19.2541
5-FU,PACLITAXEL,NCIH520,0,1.38352
5-FU,PACLITAXEL,OCUBM,0,-7.21172
5-FU,PACLITAXEL,OV90,0,6.806562
5-FU,PACLITAXEL,OVCAR3,2,-1.82504
5-FU,PACLITAXEL,PA1,1,-0.07319
5-FU,PACLITAXEL,RKO,2,7.357289
5-FU,PACLITAXEL,RPMI7951,0,2.731508
5-FU,PACLITAXEL,SKMEL30,0,-34.1723
5-FU,PACLITAXEL,SKMES1,1,21.34076
5-FU,PACLITAXEL,SKOV3,5,6.778464
5-FU,PACLITAXEL,SW620,4,5.551759
5-FU,PACLITAXEL,SW837,0,-1.16506
5-FU,PACLITAXEL,T47D,5,10.02191
5-FU,PACLITAXEL,UACC62,0,1.736785
5-FU,PACLITAXEL,UWB1289,0,-9.64552
5-FU,PACLITAXEL,UWB1289BRCA1,0,11.66144
5-FU,PACLITAXEL,VCAP,0,8.647807
5-FU,PACLITAXEL,ZR751,0,4.882033
5-FU,SN-38,A2058,0,1.886732
5-FU,SN-38,A2780,1,3.774963
5-FU,SN-38,A375,0,-0.53813
5-FU,SN-38,A427,0,-2.29229
5-FU,SN-38,CAOV3,0,-21.0007
5-FU,SN-38,COLO320DM,0,7.197847
5-FU,SN-38,DLD1,2,1.78452
5-FU,SN-38,EFM192B,0,-7.13364
5-FU,SN-38,ES2,0,-1.6185
5-FU,SN-38,HCT116,19,0.423131
5-FU,SN-38,HT144,0,-2.44151
5-FU,SN-38,HT29,25,-3.91731
5-FU,SN-38,KPL1,0,-3.68725
5-FU,SN-38,LNCAP,1,-3.22792
5-FU,SN-38,LOVO,4,-15.1086
5-FU,SN-38,MDAMB436,0,5.931608
5-FU,SN-38,MSTO,0,-17.6662
5-FU,SN-38,NCIH1650,0,-3.03116
5-FU,SN-38,NCIH2122,0,-15.0659
5-FU,SN-38,NCIH23,0,-0.34408
5-FU,SN-38,NCIH460,0,4.397968
5-FU,SN-38,NCIH520,0,-0.4615
5-FU,SN-38,OCUBM,0,3.859887
5-FU,SN-38,OV90,0,-11.4078
5-FU,SN-38,OVCAR3,0,-4.9622
5-FU,SN-38,PA1,0,-1.68961
5-FU,SN-38,RKO,0,1.065557
5-FU,SN-38,RPMI7951,0,3.541676
5-FU,SN-38,SKMEL30,0,-64.1237
5-FU,SN-38,SKMES1,0,2.945726
5-FU,SN-38,SKOV3,0,-7.08837
5-FU,SN-38,SW620,5,-0.36988
5-FU,SN-38,SW837,0,-5.3227
5-FU,SN-38,T47D,0,-14.2267
5-FU,SN-38,UACC62,0,-0.63131
5-FU,SN-38,UWB1289,0,5.276443
5-FU,SN-38,UWB1289BRCA1,0,10.92554
5-FU,SN-38,VCAP,0,15.35335
5-FU,SN-38,ZR751,0,-1.8846
5-FU,TOPOTECAN,A2058,0,9.438655
5-FU,TOPOTECAN,A2780,2,6.842314
5-FU,TOPOTECAN,A375,0,2.205174
5-FU,TOPOTECAN,A427,0,13.51872
5-FU,TOPOTECAN,CAOV3,0,-1.9139
5-FU,TOPOTECAN,COLO320DM,0,10.03822
5-FU,TOPOTECAN,DLD1,0,6.97324
5-FU,TOPOTECAN,EFM192B,0,2.043853
5-FU,TOPOTECAN,ES2,0,10.85609
5-FU,TOPOTECAN,HCT116,1,9.292749
5-FU,TOPOTECAN,HT144,0,8.646171
5-FU,TOPOTECAN,HT29,0,2.931747
5-FU,TOPOTECAN,KPL1,0,8.775483
5-FU,TOPOTECAN,LNCAP,0,-42.9856
5-FU,TOPOTECAN,LOVO,0,0.385266
5-FU,TOPOTECAN,MDAMB436,0,9.021738
5-FU,TOPOTECAN,MSTO,0,-9.82195
5-FU,TOPOTECAN,NCIH1650,0,-3.0643
5-FU,TOPOTECAN,NCIH2122,0,6.696955
5-FU,TOPOTECAN,NCIH23,0,7.702582
5-FU,TOPOTECAN,NCIH460,0,-4.12755
5-FU,TOPOTECAN,NCIH520,0,11.04287
5-FU,TOPOTECAN,OCUBM,0,4.212759
5-FU,TOPOTECAN,OV90,0,2.990798
5-FU,TOPOTECAN,OVCAR3,0,-9.20516
5-FU,TOPOTECAN,PA1,0,-6.81091
5-FU,TOPOTECAN,RKO,0,16.12348
5-FU,TOPOTECAN,RPMI7951,0,5.568952
5-FU,TOPOTECAN,SKMEL30,0,-34.6049
5-FU,TOPOTECAN,SKMES1,0,11.02786
5-FU,TOPOTECAN,SKOV3,1,3.666631
5-FU,TOPOTECAN,SW620,0,11.87089
5-FU,TOPOTECAN,SW837,0,1.943223
5-FU,TOPOTECAN,T47D,0,-5.57212
5-FU,TOPOTECAN,UACC62,0,4.387961
5-FU,TOPOTECAN,UWB1289,0,1.985143
5-FU,TOPOTECAN,UWB1289BRCA1,0,12.07524
5-FU,TOPOTECAN,VCAP,0,17.50506
